user id,product id,Interaction type,Time stamp,
1,4c69b61db1fc16e7013b43fc926e502d,purchase,10/10/2023 8:00,
2,66d49bbed043f5be260fa9f7fbff5957,view,11/10/2023 8:00,
3,2c55cae269aebf53838484b0d7dd931a,like,12/10/2023 8:00,
4,18018b6bc416dab347b1b7db79994afa,view,13/10/2023 8:00,
5,e04b990e95bf73bbe6a3fa09785d7cd0,like,14/10/2023 8:00,
6,f8c32a45e507a177992973cf0d46d20c,like,15/10/2023 8:00,
7,40d3cd16b41970ae6872e914aecf2c8e,purchase,16/10/2023 8:00,
8,bc178f33a04dbccefa95b165f8b56830,view,17/10/2023 8:00,
9,cc2083338a16c3fe2f7895289d2e98fe,like,18/10/2023 8:00,
10,69828c5570dcdbd1609216d33fbad0db,purchase,19/10/2023 8:00,
11,7b0746d8afc8462ba17f8a763d9d5f1e,purchase,20/10/2023 8:00,
12,c5f4c94653a3befd8dd16adf2914c04e,view,21/10/2023 8:00,
13,615ba903c134f439eaf8cdd1678ceb5c,like,22/10/2023 8:00,
14,82c86a4d24dce5e14303033d7b658b78,view,23/10/2023 8:00,
15,1ecccb43e0f5c0162218371916ffa553,like,24/10/2023 8:00,
16,d1ac6d805fcdf75f9e00af611dd03ce4,like,25/10/2023 8:00,
17,d82015ffbf4cd54b0edfb890002971f3,purchase,26/10/2023 8:00,
18,39f1b8a2129315da0288cd058b6b6086,view,27/10/2023 8:00,
19,4af0833f20a8421788fc04577b0ef1c5,like,28/10/2023 8:00,
20,fd71391871b94ead84733bc272dd5886,purchase,29/10/2023 8:00,
21,a84f14dd0114d78f178b16f093cab0e0,purchase,30/10/2023 8:00,
22,f5b9392a03cfae8817307a36411c8b17,view,31/10/2023 8:00,
23,89a993dbc079cc3fbe9088c8170b6f99,like,01/11/2023 8:00,
24,84fb43b933850dc05e57a162c5ba1702,view,02/11/2023 8:00,
25,af983053a35fa2a843092369ff3b400b,like,03/11/2023 8:00,
26,6d38858169064c8b7069a19c90dd0ae4,like,04/11/2023 8:00,
27,326ebcfaa8d5204b634b5648e88e2fe4,purchase,05/11/2023 8:00,
28,a11d9462309527143094a0f68bce0a58,view,06/11/2023 8:00,
29,fdd8daf07ddd4a23832f3da7d209252f,like,07/11/2023 8:00,
30,c15e7efbe14b9bbcb8b7fe31f9818021,purchase,08/11/2023 8:00,
31,5bb4a9aa52085ada20006d166b1e2f87,purchase,09/11/2023 8:00,
32,2339c5be505bf647ebff669697c6bc25,view,10/11/2023 8:00,
33,93c659c89f9a1a81374c61c3fdf881bb,like,11/11/2023 8:00,
34,25a1fcc6db40f86566c5f2d902407b15,view,12/11/2023 8:00,
35,171c7524e8cf032d08d1315f3a538345,like,13/11/2023 8:00,
36,0b6ee0084290e441d87cd5db35cdabb3,like,14/11/2023 8:00,
37,4449b3fa30a6becd3ede26511c8b2180,purchase,15/11/2023 8:00,
